number,locationid,BEATid,ZONEid,dateid,crimeid_x,count_crime_type
112781266,2134,8,6,58,3,1
112781342,1556,1,1,58,1,1
112781364,1175,54,3,58,2,1
112781415,855,3,3,58,3,1
112781436,2536,36,2,58,2,1
112781531,2539,57,1,58,7,1
112781535,2540,30,4,58,3,1
112781573,2541,1,1,58,7,1
112781590,2542,9,4,58,3,1
112781607,2543,66,1,58,7,1
112781621,437,3,3,58,1,1
112780188,2544,62,2,58,1,1
112780202,478,43,4,58,3,1
112780635,2545,62,2,58,5,1
112780644,2546,44,2,58,5,1
112780652,2547,60,6,58,3,1
112780661,708,25,4,58,2,1
112780920,931,37,5,58,7,1
112781091,2548,16,2,58,7,1
112781176,2549,49,2,58,8,1
112781198,2550,12,3,58,7,1
112781206,139,25,4,58,3,1
112781682,2551,47,5,58,3,1
112781691,2552,50,3,58,7,1
112781715,2553,3,3,58,1,1
112781741,2554,9,4,58,3,1
112781820,2555,3,3,58,3,1
112781989,156,52,5,58,7,1
112782056,276,27,4,58,3,1
112782232,237,59,1,58,2,1
112782335,41,29,6,58,2,1
112782364,2556,3,3,58,3,1
112782369,2557,55,2,58,1,1
112782389,858,3,3,58,2,1
112782416,2056,6,3,58,2,1
112782496,81,40,4,58,3,1
112782584,2558,48,4,58,2,1
112782614,2559,3,3,58,2,1
112782692,2560,16,2,58,7,1
112782743,2561,3,3,58,4,1
112782817,2562,36,2,58,7,1
112782820,1871,23,5,58,5,1
112782861,2563,63,5,58,5,1
112770912,2564,19,1,59,2,1
112770965,2565,28,5,59,8,1
112770975,2566,62,2,59,3,1
112771033,2567,8,6,59,3,1
112771060,2095,37,5,59,3,1
112771198,2568,66,1,59,7,1
112771237,2569,36,2,59,3,1
112771249,1149,27,4,59,5,1
112771309,2570,2,2,59,3,1
112771368,195,65,2,59,5,1
112771395,1652,12,3,59,3,1
112771444,2571,58,2,59,3,1
112771453,2572,30,4,59,4,1
112771464,2573,25,4,59,3,1
112771474,2574,9,4,59,3,1
112771497,2575,51,3,59,8,1
112771503,139,25,4,59,3,1
112771575,2576,47,5,59,7,1
112771595,1568,53,5,59,3,1
112771644,2577,42,2,59,7,1
112771646,2578,4,1,59,1,1
112771778,65,9,4,59,1,1
112771810,164,14,4,59,3,1
112771846,2579,23,5,59,2,1
112771889,41,29,6,59,3,1
112771953,2580,12,3,59,7,1
112772156,2581,12,3,59,2,1
112772163,2582,8,6,59,1,1
112772177,2583,49,2,59,3,1
112772179,1369,63,5,59,3,1
112772197,2584,24,3,59,7,1
112772199,1741,33,2,59,7,1
112772272,2585,6,3,59,2,1
112772342,2586,15,5,59,3,1
112772399,2587,7,5,59,5,1
112772420,41,29,6,59,3,1
112772434,1711,32,3,59,2,1
112772461,2588,3,3,59,2,1
112772517,2589,11,3,59,2,1
112772570,2590,32,3,59,2,1
112772573,60,30,4,59,5,1
112772637,2591,7,5,59,7,1
112770365,2398,8,6,59,2,1
112770593,2592,13,6,59,1,1
112770781,999,66,1,59,10,1
112770784,2593,15,5,59,7,1
112770838,2594,26,4,59,3,1
112721348,2595,37,5,59,7,1
112212148,183,48,4,59,1,1
112762662,81,40,4,60,4,1
112760085,2596,27,4,60,2,1
112760207,2597,36,2,60,2,1
112760410,53,35,1,60,3,1
112760516,2598,6,3,60,1,1
112760598,2599,30,4,60,2,1
112760618,2600,54,3,60,1,1
112760623,2601,28,5,60,2,1
112760637,2602,54,3,60,1,1
112760707,2603,10,2,60,7,1
112760763,2604,12,3,60,2,1
112760981,2605,24,3,60,8,1
112761024,1559,42,2,60,3,1
112761069,2606,36,2,60,7,1
112761105,53,35,1,60,3,1
112761112,2607,64,3,60,2,1
112761161,2608,28,5,60,7,1
112761395,2466,18,3,60,5,1
112761400,2609,2,2,60,4,1
112761415,2610,42,2,60,2,1
112761452,2611,65,2,60,2,1
112761461,47,33,2,60,7,1
112761482,2612,1,1,60,4,1
112761527,1652,12,3,60,1,1
112761538,2613,1,1,60,1,1
112761546,2614,27,4,60,1,1
112761554,2615,9,4,60,1,1
112761592,2616,52,5,60,4,1
112761655,413,16,2,60,2,1
112761733,2617,3,3,60,7,1
112761774,157,6,3,60,7,1
112761803,2618,5,4,60,4,1
112761824,350,48,4,60,3,1
112761875,2619,40,4,60,5,1
112761925,2620,9,4,60,1,1
112761983,2621,1,1,60,4,1
112762016,108,49,2,60,7,1
112762055,2622,1,1,60,5,1
112762070,2623,67,1,60,1,1
112762194,684,3,3,60,2,1
112762209,2624,50,3,60,2,1
112762253,2625,33,2,60,3,1
112762326,1460,13,6,60,2,1
112762374,2626,13,6,60,3,1
112762381,2627,55,2,60,7,1
112762434,142,6,3,60,2,1
112762454,2301,15,5,60,2,1
112762483,1078,10,2,60,2,1
112762555,2628,15,5,60,2,1
112762568,2629,24,3,60,3,1
112762583,2630,6,3,60,10,1
112762585,2631,64,3,60,4,1
112762599,2632,52,5,60,5,1
112762619,2559,3,3,60,2,1
112762623,278,11,3,60,2,1
112752008,2633,27,4,61,2,1
112752043,2634,33,2,61,1,1
112752139,2635,27,4,61,2,1
112752184,1532,33,2,61,5,1
112752185,2636,11,3,61,4,1
112752213,2637,33,2,61,3,1
112752272,2638,51,3,61,4,1
112752286,2422,6,3,61,1,1
112741506,2134,8,6,61,3,1
112742779,2639,6,3,61,4,1
112750034,2438,2,2,61,7,1
112750055,2640,2,2,61,7,1
112750075,2641,24,3,61,4,1
112750143,2642,10,2,61,2,1
112750214,2643,6,3,61,4,1
112750356,2644,10,2,61,2,1
112750368,2645,29,6,61,5,1
112750435,350,48,4,61,5,1
112750500,2646,48,4,61,2,1
112750542,563,48,4,61,2,1
112750554,2647,3,3,61,4,1
112750563,2648,22,5,61,8,1
112750640,2649,45,4,61,8,1
112750688,87,46,1,61,1,1
112750749,1424,48,4,61,2,1
112750765,2650,54,3,61,2,1
112750782,2651,14,4,61,1,1
112750802,2652,36,2,61,7,1
112750873,2653,54,3,61,2,1
112750894,1061,17,1,61,3,1
112750933,2654,2,2,61,7,1
112751018,2655,42,2,61,7,1
112751057,2656,49,2,61,8,1
112751078,2657,26,4,61,2,1
112751111,2658,6,3,61,8,1
112751120,1638,22,5,61,1,1
112751124,1105,15,5,61,1,1
112751185,2659,58,2,61,3,1
112751233,47,33,2,61,10,1
112751238,1568,53,5,61,7,1
112751245,2660,39,5,61,2,1
112751308,2345,55,2,61,4,1
112751320,2661,30,4,61,2,1
112751322,2116,5,4,61,2,1
112751400,2662,51,3,61,5,1
112751427,1121,12,3,61,1,1
112751531,41,29,6,61,3,1
112751594,2663,58,2,61,7,1
112751609,2664,27,4,61,10,1
112751723,2665,2,2,61,7,1
112751792,2666,58,2,61,1,1
112741534,2667,2,2,62,7,1
112741559,621,33,2,62,7,1
112741625,53,35,1,62,3,1
112741718,62,39,5,62,3,1
112741734,41,29,6,62,3,1
112741736,2668,33,2,62,5,1
112741849,2669,55,2,62,1,1
112741867,2670,30,4,62,4,1
112741900,2671,48,4,62,3,1
112741940,2134,8,6,62,3,1
112741952,81,40,4,62,3,1
112742025,2583,49,2,62,7,1
112742094,2672,2,2,62,7,1
112742097,452,53,5,62,1,1
112742100,2673,6,3,62,2,1
112742126,907,10,2,62,5,1
112742179,255,38,5,62,7,1
112742199,2674,3,3,62,1,1
112742200,1793,1,1,62,3,1
112742292,1005,37,5,62,3,1
112742293,67,14,4,62,3,1
112742334,1172,37,5,62,3,1
112742393,2675,37,5,62,3,1
112742451,2313,39,5,62,5,1
112742566,2676,43,4,62,3,1
112742763,2677,5,4,62,1,1
112740017,2678,15,5,62,4,1
112740459,2679,15,5,62,3,1
112740462,2680,17,1,62,3,1
112740501,1175,54,3,62,2,1
112740566,2453,14,4,62,2,1
112740637,801,60,6,62,5,1
112740682,2681,8,6,62,4,1
112740742,2682,37,5,62,1,1
112740797,62,39,5,62,1,1
112740838,2683,9,4,62,2,1
112740840,2684,42,2,62,3,1
112741109,607,40,4,62,2,1
112741154,41,29,6,62,3,1
112741327,713,6,3,62,3,1
112741351,318,6,3,62,3,1
112741371,2685,10,2,62,3,1
112741410,1044,41,6,62,2,1
112741432,2686,39,5,62,3,1
112741482,1269,2,2,62,4,1
112741495,1137,1,1,62,2,1
112741504,184,25,4,62,2,1
123021187,2687,7,5,63,2,1
123050013,2688,47,5,63,5,1
123050156,147,12,3,63,3,1
123050161,81,40,4,63,3,1
123050333,2514,5,4,63,2,1
123050462,452,53,5,63,4,1
123050534,73,43,4,63,2,1
123050538,2689,36,2,63,2,1
123050568,134,30,4,63,1,1
123050717,2690,37,5,63,2,1
123050722,2691,56,4,63,2,1
123050747,2692,6,3,63,1,1
123050819,147,12,3,63,3,1
123050835,542,28,5,63,3,1
123050873,2693,16,2,63,1,1
123050878,2694,39,5,63,2,1
123050879,2695,36,2,63,3,1
123050889,2696,51,3,63,1,1
123051028,2697,7,5,63,5,1
123051155,276,27,4,63,3,1
123051221,2611,65,2,63,5,1
123051254,2698,25,4,63,3,1
123051279,2699,39,5,63,7,1
123051318,1875,49,2,63,2,1
123051385,1695,60,6,63,3,1
123051470,39,25,4,63,3,1
123051473,1121,12,3,63,3,1
123051505,2700,20,5,63,4,1
123051507,2701,14,4,63,3,1
123051570,943,27,4,63,2,1
123051609,224,58,2,63,10,1
123051660,39,25,4,63,3,1
123051771,40,1,1,63,3,1
123051856,2702,3,3,63,2,1
123051870,2703,32,3,63,3,1
123051908,1076,26,4,63,3,1
123051930,1356,38,5,63,8,1
123051934,2704,33,2,63,2,1
123051944,41,29,6,63,3,1
123051958,2705,49,2,63,7,1
123051967,41,29,6,63,3,1
123052113,695,26,4,63,3,1
123052204,2222,32,3,63,7,1
123052257,2706,43,4,63,2,1
123052296,41,29,6,63,3,1
123052330,2104,37,5,63,10,1
123052345,1160,33,2,63,5,1
123052437,2707,42,2,63,4,1
123052438,807,5,4,63,5,1
123052439,2708,59,1,63,1,1
123052471,2709,33,2,63,1,1
123052485,2710,34,2,63,3,1
123052509,2711,64,3,63,2,1
123052542,2712,33,2,63,11,1
123052587,2713,52,5,63,4,1
123052643,2714,8,6,63,7,1
123052677,452,53,5,63,7,1
123052683,2715,26,4,63,2,1
123052687,962,6,3,63,2,1
123052688,2716,40,4,63,1,1
123052726,2717,22,5,63,1,1
123052816,2718,26,4,63,3,1
123042743,2719,14,4,63,2,1
123042890,1731,49,2,63,7,1
123042774,2441,33,2,64,3,1
123042809,2687,47,5,64,1,1
123042822,2720,6,3,64,1,1
123042830,1307,1,1,64,2,1
123042569,1044,41,6,64,2,1
123042600,2721,7,5,64,4,1
123042722,2722,30,4,64,2,1
123042726,2723,4,1,64,1,1
123042738,2724,10,2,64,1,1
123040077,2725,27,4,64,2,1
123040160,2726,63,5,64,5,1
123040285,2727,37,5,64,10,1
123040430,2114,2,2,64,2,1
123040476,2728,1,1,64,2,1
123040481,2729,15,5,64,2,1
123040512,2730,29,6,64,8,1
123040599,542,28,5,64,1,1
123040749,2731,44,2,64,7,1
123040808,2732,26,4,64,2,1
123040929,109,44,2,64,1,1
123040930,2733,52,5,64,1,1
123040932,878,11,3,64,1,1
123041031,1325,21,6,64,7,1
123041132,2734,38,5,64,1,1
123041201,345,3,3,64,2,1
123041233,2735,35,1,64,1,1
123041263,139,25,4,64,3,1
123041265,2736,6,3,64,1,1
123041345,2737,52,5,64,2,1
123041349,2738,19,1,64,7,1
123041440,2739,39,5,64,3,1
123041452,639,36,2,64,5,1
123041463,2740,59,1,64,7,1
123041504,2741,49,2,64,11,1
123041559,153,47,5,64,2,1
123041568,2742,42,2,64,3,1
123041672,2743,33,2,64,3,1
123041675,2744,16,2,64,7,1
123041731,53,35,1,64,3,1
123041798,2745,27,4,64,2,1
123041866,2746,47,5,64,2,1
123041896,2747,33,2,64,1,1
123041916,2547,60,6,64,3,1
123041956,2748,3,3,64,2,1
123041964,2749,12,3,64,1,1
123041967,2750,1,1,64,3,1
123041971,2751,63,5,64,10,1
123042041,1135,62,2,64,7,1
123042122,318,6,3,64,1,1
123042137,41,29,6,64,3,1
123042181,880,68,6,64,2,1
123042209,2752,68,6,64,2,1
123042242,2448,30,4,64,2,1
123042322,2753,64,3,64,1,1
123042324,2754,39,5,64,7,1
123042329,40,1,1,64,3,1
123042365,2755,11,3,64,2,1
123042392,942,26,4,64,3,1
123042424,2756,1,1,64,1,1
123042471,2757,19,1,64,7,1
123042505,38,3,3,64,1,1
123012705,1984,51,3,64,7,1
123032632,1220,37,5,64,7,1
123032718,535,6,3,64,11,1
123032741,41,29,6,65,2,1
123032640,2758,11,3,65,4,1
123032653,2759,49,2,65,1,1
123032680,2760,27,4,65,2,1
123030006,2761,39,5,65,1,1
123030012,535,6,3,65,2,1
123030090,2762,12,3,65,5,1
123030301,2763,28,5,65,2,1
123030338,2764,36,2,65,1,1
123030495,2765,47,5,65,1,1
123030573,2766,33,2,65,2,1
123030722,909,48,4,65,1,1
123030757,2020,36,2,65,7,1
123030811,2767,11,3,65,7,1
123030823,488,26,4,65,8,1
123030849,2768,32,3,65,3,1
123030900,2769,62,2,65,7,1
123030907,2770,36,2,65,7,1
123030990,2771,6,3,65,3,1
123031001,2772,51,3,65,7,1
123031306,2773,50,3,65,1,1
123031323,1652,12,3,65,3,1
123031328,2774,26,4,65,2,1
123031423,1557,41,6,65,2,1
123031469,1121,12,3,65,3,1
123031470,2775,32,3,65,1,1
123031663,2776,52,5,65,7,1
123031780,1648,2,2,65,3,1
123031790,2777,58,2,65,5,1
123031877,2778,9,4,65,3,1
123031895,2779,6,3,65,3,1
123031999,2780,33,2,65,1,1
123032102,2781,21,6,65,7,1
123032145,2782,11,3,65,2,1
123032220,2783,41,6,65,2,1
123032292,2784,36,2,65,3,1
123032306,391,47,5,65,5,1
123032308,2785,5,4,65,5,1
123032322,2090,1,1,65,3,1
123032430,176,42,2,65,3,1
123032498,2786,18,3,65,1,1
123032544,2787,41,6,65,4,1
123032570,2788,60,6,65,3,1
123032579,192,32,3,65,2,1
123032605,1668,3,3,65,2,1
123021240,2789,39,5,66,2,1
123021264,2790,9,4,66,2,1
123021294,2791,61,3,66,2,1
123021301,18,15,5,66,1,1
123021379,2792,15,5,66,1,1
123021387,2793,11,3,66,1,1
123021403,2483,39,5,66,7,1
123021514,2794,10,2,66,1,1
123021526,2795,15,5,66,1,1
123021553,2796,3,3,66,2,1
123021576,2797,3,3,66,1,1
123021598,2798,7,5,66,7,1
123021624,2799,52,5,66,1,1
123021634,2800,6,3,66,1,1
123021667,2801,52,5,66,1,1
123021689,2802,11,3,66,1,1
123021747,2143,9,4,66,2,1
123021810,2803,7,5,66,2,1
123021959,2804,38,5,66,5,1
123022054,2805,63,5,66,2,1
123022105,1229,3,3,66,1,1
123022119,2806,45,4,66,7,1
123022214,441,10,2,66,4,1
123022404,2807,62,2,66,1,1
123022410,477,27,4,66,3,1
123022413,1568,53,5,66,5,1
123020155,2808,19,1,66,7,1
123020167,2809,6,3,66,2,1
123020240,643,11,3,66,1,1
123020250,2810,24,3,66,2,1
123020400,2811,61,3,66,2,1
123020467,2812,26,4,66,2,1
123020508,2813,47,5,66,5,1
123020526,2814,39,5,66,10,1
123020559,248,63,5,66,5,1
123020599,2815,27,4,66,4,1
123020707,2816,54,3,66,1,1
123020734,2817,54,3,66,2,1
123020804,727,34,2,66,2,1
123020811,2818,19,1,66,2,1
123020821,333,15,5,66,1,1
123020905,2819,54,3,66,2,1
123020970,2820,29,6,66,2,1
123020976,2821,43,4,66,3,1
123021041,2822,39,5,66,2,1
123021090,649,1,1,66,3,1
123021102,2823,54,3,66,2,1
123021171,2824,64,3,66,3,1
123632371,1533,14,4,66,2,1
122891280,2825,54,3,67,7,1
123010034,2826,49,2,67,1,1
123010206,2827,18,3,67,2,1
123010243,2828,47,5,67,2,1
123010260,2829,35,1,67,5,1
123010346,670,26,4,67,2,1
123010675,375,60,6,67,10,1
123010695,448,60,6,67,3,1
123010764,2830,40,4,67,3,1
123010891,89,43,4,67,1,1
123011017,2831,40,4,67,2,1
123011029,2832,64,3,67,2,1
123011047,747,9,4,67,3,1
123011249,1048,48,4,67,2,1
123011250,2833,39,5,67,7,1
123011262,1175,54,3,67,2,1
123011272,2834,26,4,67,3,1
123011277,2835,26,4,67,2,1
123011311,2836,55,2,67,7,1
123011317,2837,5,4,67,3,1
123011318,2838,43,4,67,2,1
123011401,1121,12,3,67,3,1
123011440,2839,39,5,67,1,1
123011491,2840,25,4,67,3,1
123011531,139,25,4,67,3,1
123011586,2841,43,4,67,2,1
123011668,2842,39,5,67,2,1
123011770,2843,52,5,67,2,1
123011779,2844,52,5,67,1,1
123011795,2845,52,5,67,2,1
123011843,339,4,1,67,7,1
123011872,566,13,6,67,3,1
123011879,1493,53,5,67,2,1
123011906,713,6,3,67,3,1
123012006,2846,63,5,67,5,1
123012015,2847,1,1,67,1,1
123012020,566,13,6,67,3,1
123012085,654,1,1,67,3,1
123012095,2848,66,1,67,7,1
123012098,2849,47,5,67,4,1
123012099,81,40,4,67,3,1
123012261,183,48,4,67,3,1
123012360,2850,42,2,67,1,1
123012412,2851,17,1,67,2,1
123012489,2852,47,5,67,2,1
123012589,2853,47,5,67,2,1
123012603,2854,46,1,67,2,1
123012652,2855,6,3,67,2,1
123012669,1495,47,5,67,2,1
123012695,2856,22,5,67,1,1
123012775,2857,24,3,67,5,1
123012875,217,42,2,67,7,1
123002883,2858,2,2,68,5,1
123002981,2859,64,3,68,2,1
123003033,2860,2,2,68,1,1
123003035,2861,55,2,68,1,1
122992605,41,29,6,68,3,1
123000039,2862,47,5,68,3,1
123000110,2863,2,2,68,1,1
123000319,2864,32,3,68,8,1
123000462,2865,1,1,68,8,1
123000553,561,59,1,68,7,1
123000587,2866,33,2,68,1,1
123000620,2867,38,5,68,7,1
123000754,2868,54,3,68,2,1
123000840,2869,62,2,68,7,1
123000863,2870,62,2,68,7,1
123000871,2871,2,2,68,1,1
123000917,2872,3,3,68,3,1
123000960,2873,49,2,68,8,1
123001027,2874,38,5,68,3,1
123001042,1793,1,1,68,3,1
123001228,2875,36,2,68,7,1
123001275,139,25,4,68,3,1
123001370,2876,33,2,68,7,1
123001447,2877,30,4,68,3,1
123001615,18,15,5,68,7,1
123001626,147,12,3,68,3,1
123001688,2878,40,4,68,2,1
123001693,2879,2,2,68,1,1
123001702,2880,42,2,68,7,1
123001740,2881,53,5,68,7,1
123001776,1907,57,1,68,5,1
123001802,2882,43,4,68,3,1
123002036,2883,52,5,68,5,1
123002037,2884,27,4,68,3,1
123002046,2885,46,1,68,5,1
123002098,1,1,1,68,1,1
123002100,41,29,6,68,3,1
123002250,2686,39,5,68,2,1
123002290,1980,22,5,68,1,1
123002361,2886,30,4,68,3,1
123002463,2887,47,5,68,5,1
123002530,159,39,5,68,3,1
123002620,2888,52,5,68,1,1
123002642,2889,37,5,68,4,1
123002710,1679,5,4,68,3,1
123002715,772,55,2,68,10,1
123002779,2890,1,1,68,11,1
123002819,2247,13,6,68,2,1
123002840,2891,3,3,68,2,1
122990039,2892,39,5,69,4,1
122990453,2893,54,3,69,1,1
122990664,931,37,5,69,1,1
122990740,276,27,4,69,3,1
122990768,2894,48,4,69,3,1
122990857,2895,8,6,69,1,1
122990887,2896,47,5,69,7,1
122990934,1556,1,1,69,2,1
122990964,2897,63,5,69,2,1
122990965,2346,21,6,69,7,1
122990996,2898,2,2,69,7,1
122991018,2899,21,6,69,7,1
122991050,276,27,4,69,3,1
122991090,2900,61,3,69,2,1
122991107,1168,58,2,69,4,1
122991158,369,60,6,69,3,1
122991188,139,25,4,69,3,1
122991218,2901,39,5,69,2,1
122991235,2902,39,5,69,2,1
122991239,2903,37,5,69,7,1
122991263,1493,53,5,69,7,1
122991278,139,25,4,69,3,1
122991304,2904,15,5,69,4,1
122991407,2905,27,4,69,2,1
122991447,159,39,5,69,11,1
122991458,318,6,3,69,3,1
122991490,2906,42,2,69,3,1
122991540,2907,15,5,69,3,1
122991576,1105,15,5,69,2,1
122991588,2908,34,2,69,1,1
122991591,2837,5,4,69,3,1
122991691,2909,21,6,69,8,1
122991706,2910,45,4,69,7,1
122991760,2911,69,6,69,7,1
122991792,2912,12,3,69,2,1
122991866,2913,54,3,69,2,1
122991867,2914,64,3,69,2,1
122991898,1,1,1,69,3,1
122992071,2915,64,3,69,2,1
122992079,2916,52,5,69,1,1
122992115,1695,60,6,69,3,1
122992168,139,25,4,69,3,1
122992185,2917,69,6,69,7,1
122992227,2918,37,5,69,2,1
122992231,2919,1,1,69,3,1
122992247,2920,68,6,69,2,1
122992280,2921,54,3,69,7,1
122992368,2922,35,1,69,3,1
122992376,1172,37,5,69,3,1
122992404,2923,36,2,69,3,1
122992542,2924,1,1,69,1,1
122992548,810,8,6,69,3,1
122992573,2925,45,4,69,1,1
122992594,1048,48,4,69,2,1
122992658,469,11,3,69,5,1
122992754,2926,12,3,69,2,1
122971155,2927,27,4,70,3,1
122980067,2928,42,2,70,7,1
122980576,2929,48,4,70,3,1
122980724,2930,18,3,70,2,1
122980739,2931,6,3,70,3,1
122980848,1493,53,5,70,1,1
122980879,2932,51,3,70,3,1
122980893,2933,11,3,70,2,1
122980954,727,34,2,70,1,1
122980969,2934,29,6,70,3,1
122980986,1660,7,5,70,2,1
122980994,2935,52,5,70,3,1
122981179,1556,1,1,70,1,1
122981208,2936,64,3,70,7,1
122981216,2937,3,3,70,3,1
122981276,2938,28,5,70,7,1
122981302,2939,49,2,70,2,1
122981327,2702,61,3,70,4,1
122981360,2940,26,4,70,2,1
122981409,37,25,4,70,2,1
122981455,2941,59,1,70,4,1
122981474,2942,27,4,70,2,1
122981478,139,25,4,70,3,1
122981531,2943,66,1,70,3,1
122981705,2944,52,5,70,5,1
122981740,2945,38,5,70,7,1
122981744,2946,7,5,70,3,1
122981835,2947,3,3,70,2,1
122981853,2948,51,3,70,3,1
122981958,2949,37,5,70,3,1
122981991,2950,55,2,70,1,1
122982009,804,28,5,70,2,1
122982107,2951,11,3,70,7,1
122982144,2952,35,1,70,7,1
122982150,2953,58,2,70,3,1
122982188,896,61,3,70,1,1
122982203,2954,12,3,70,3,1
122982224,2955,44,2,70,8,1
122982285,573,49,2,70,5,1
122982392,2956,6,3,70,1,1
122982419,2957,6,3,70,2,1
122982443,2958,47,5,70,4,1
122982455,39,25,4,70,3,1
122982515,2959,42,2,70,1,1
122982535,1173,10,2,70,1,1
122972512,2092,6,3,70,2,1
122982638,1111,3,3,70,3,1
122982665,2020,36,2,70,7,1
122962664,278,11,3,71,5,1
122962711,2302,47,5,71,2,1
122972614,2960,3,3,71,5,1
122972630,2961,36,2,71,7,1
122972701,2177,43,4,71,4,1
122972707,2962,43,4,71,2,1
122972800,2315,39,5,71,2,1
122972812,2963,16,2,71,7,1
122972830,2964,41,6,71,1,1
122972864,323,43,4,71,2,1
122970141,2965,39,5,71,5,1
122970489,2966,39,5,71,4,1
122970534,2967,18,3,71,1,1
122970560,2968,54,3,71,2,1
122970642,2969,2,2,71,1,1
122970670,141,48,4,71,7,1
122970769,2970,51,3,71,1,1
122970864,2971,28,5,71,4,1
122970888,2972,64,3,71,2,1
122970911,2973,42,2,71,7,1
122971029,2974,36,2,71,5,1
122971035,2581,12,3,71,2,1
122971037,2975,43,4,71,3,1
122971040,2794,10,2,71,3,1
122971078,477,27,4,71,2,1
122971130,2976,39,5,71,10,1
122971198,237,59,1,71,5,1
122971201,2977,16,2,71,3,1
122971266,2978,27,4,71,2,1
122971279,2979,65,2,71,3,1
122971390,2909,8,6,71,1,1
122971431,139,25,4,71,3,1
122971436,2980,33,2,71,3,1
122971533,147,12,3,71,1,1
122971572,2981,6,3,71,2,1
122971652,1628,8,6,71,7,1
122971686,2982,24,3,71,10,1
122971755,2983,32,3,71,1,1
122971761,139,25,4,71,3,1
122971796,2984,29,6,71,2,1
122971820,1652,12,3,71,3,1
122971832,2985,27,4,71,1,1
122971846,1145,27,4,71,2,1
122971963,2233,27,4,71,2,1
122971977,53,35,1,71,3,1
122971982,2986,36,2,71,3,1
122972015,2987,6,3,71,3,1
122972051,1053,59,1,71,7,1
122972076,232,37,5,71,3,1
122972088,253,33,2,71,3,1
122972235,2988,37,5,71,5,1
122972277,363,3,3,71,3,1
122972304,2989,23,5,71,1,1
122972305,2990,28,5,71,7,1
122972322,53,35,1,71,3,1
122972357,2991,11,3,71,7,1
122972381,2992,7,5,71,3,1
122972388,1528,63,5,71,11,1
122972449,795,27,4,71,2,1
122972491,2993,54,3,71,3,1
122960081,2994,9,4,72,2,1
122960470,2995,44,2,72,1,1
122960682,1504,16,2,72,3,1
122960804,109,44,2,72,2,1
122960809,2996,42,2,72,1,1
122960823,2997,3,3,72,3,1
122960841,287,25,4,72,3,1
122960870,2998,37,5,72,2,1
122960888,2999,45,4,72,3,1
122960909,3000,24,3,72,11,1
122961009,3001,34,2,72,11,1
122961029,3002,63,5,72,7,1
122962733,1726,3,3,72,2,1
122962668,3003,24,3,72,2,1
122961076,3004,8,6,72,3,1
122961175,3005,48,4,72,7,1
122961202,3006,10,2,72,1,1
122961210,287,25,4,72,3,1
122961214,3007,28,5,72,7,1
122961230,3008,14,4,72,2,1
122961250,3009,52,5,72,7,1
122961260,3010,42,2,72,7,1
122961270,3011,51,3,72,2,1
122961298,1172,37,5,72,3,1
122961302,233,1,1,72,7,1
122961306,139,25,4,72,3,1
122961395,3012,11,3,72,3,1
122961427,3013,63,5,72,7,1
122961428,3014,44,2,72,1,1
122961503,1078,10,2,72,3,1
122961524,53,35,1,72,3,1
122961525,381,25,4,72,2,1
122961533,3015,47,5,72,5,1
122961564,41,29,6,72,3,1
122961589,3016,6,3,72,2,1
122961645,3017,24,3,72,7,1
122961706,141,48,4,72,8,1
122961722,1121,12,3,72,2,1
122961825,3018,2,2,72,7,1
122961911,694,1,1,72,2,1
122962030,3019,47,5,72,7,1
122962094,3020,26,4,72,2,1
122962149,1529,41,6,72,3,1
122962187,2573,25,4,72,4,1
122962250,3021,61,3,72,3,1
122962313,3022,22,5,72,7,1
122962318,3023,56,4,72,7,1
122962350,3024,8,6,72,7,1
122962449,3025,27,4,72,2,1
122962453,3026,18,3,72,3,1
122962464,3027,23,5,72,4,1
122962470,3028,36,2,72,4,1
122962527,1190,23,5,72,7,1
122962542,41,29,6,72,1,1
122962655,335,36,2,72,3,1
122891656,3029,51,3,72,3,1
123181315,3031,48,4,72,7,1
122950102,233,1,1,73,1,1
122950176,1413,4,1,73,5,1
122950360,3032,10,2,73,2,1
122950413,1021,11,3,73,2,1
122950439,2714,8,6,73,7,1
122950475,681,26,4,73,2,1
122950476,2315,39,5,73,1,1
122950503,1608,2,2,73,1,1
122950515,3033,14,4,73,2,1
122950538,581,13,6,73,2,1
122950582,3034,42,2,73,1,1
122950595,156,52,5,73,1,1
122950605,3035,1,1,73,1,1
122950701,3036,38,5,73,5,1
122950729,2316,47,5,73,2,1
122950748,453,30,4,73,2,1
122950761,934,28,5,73,1,1
122950853,3037,59,1,73,8,1
122950871,62,39,5,73,2,1
122950885,3038,2,2,73,3,1
122950977,1812,40,4,73,5,1
122951002,3039,52,5,73,2,1
122951077,1568,53,5,73,4,1
122951110,3040,6,3,73,2,1
122951123,2975,43,4,73,3,1
122951170,3041,42,2,73,10,1
122951190,3042,36,2,73,3,1
122951321,3043,33,2,73,2,1
122951364,3044,48,4,73,1,1
122951509,48,17,1,73,3,1
122951550,880,68,6,73,2,1
122951600,3045,55,2,73,5,1
122951620,41,29,6,73,3,1
122951811,3026,18,3,73,11,1
122951882,3008,14,4,73,3,1
122951971,3046,4,1,73,2,1
122952080,1648,2,2,73,11,1
122952091,3047,63,5,73,5,1
122952127,3048,48,4,73,3,1
122952133,3049,29,6,73,7,1
122952142,109,44,2,73,5,1
122952160,1078,10,2,73,4,1
122942705,3050,2,2,73,7,1
