date_id,day,month,year
0,31,10,2010
1,30,10,2010
2,29,10,2010
3,28,10,2010
4,27,10,2010
5,26,10,2010
6,25,10,2010
7,24,10,2010
8,23,10,2010
9,22,10,2010
10,21,10,2010
11,20,10,2010
12,19,10,2010
13,18,10,2010
14,17,10,2010
15,16,10,2010
